symbol,address,city,zip,country,phone,website,industry,industryKey,sector,sectorKey,longBusinessSummary,fullTimeEmployees,auditRisk,boardRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,irWebsite,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,regularMarketVolume,averageVolume,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,fitytwoWeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,quoteType,currentPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,region,typeDisp,quoteSourceName,customPriceAlertConfidence,shortName,longName,postMarketChangePercent,fullExchangeName,averageDailyVolume3Month,exchange,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,averageAnalystRating,cryptoTradeable,displayName,trailingPegRatio
JKHY,663 West Highway 60,Monett,65708-8215,United States,417 235 6652,https://www.jackhenry.com,Information Technology Services,information-technology-services,Technology,technology,"Jack Henry & Associates, Inc. operates as a financial technology company that connects people and financial institutions through technology solutions and payment processing services. It operates through four segments: Core, Payments, Complementary, and Corporate and Other. The Core segment provides core information processing platforms to banks and credit unions, which consist of integrated applications required to process deposit, loan, general ledger transactions, and maintain centralized accountholder information. The Payments segment offers secure payment processing tools and services, including ATM, automated clearing house origination and remote deposit capture processing, and risk management products and services, as well as debit and credit card processing services, and online and mobile bill pay solutions. The Complementary segment provides software, and hosted processing platforms and services comprising digital/mobile banking, treasury, online account opening, fraud/anti-money laundering, and lending/deposit solutions. The Corporate and Other segment offers hardware and other products. It offers specialized financial performance, imaging and payment, information security and risk management, retail delivery, and online and mobile solutions to financial services organizations and corporate entities. The company also provides SilverLake system, a system primarily designed for commercial-focused banks; Symitar, a system designed for credit unions; CIF 20/20, a parameter-driven system for banks; and Core Director, a system with point-and-click operation for banks. It provides digital products and services under the Banno Digital Platform, and electronic payment solutions; hardware systems; implementation, training, and support and service solutions; data center solutions; and data and transaction processing, and software licensing and related services, as well as professional services. The company was founded in 1976 and is headquartered in Monett, Missouri.",7200.0,1.0,7.0,5.0,4.0,1772323200.0,http://jkhy.client.shareholder.com/,2.35,1.43,1772668800.0,0.33290002,1.2,0.726,23.560259,23.580555,111245.0,922091.0,944070.0,11885411328.0,144.12,193.39,212.62,0.0625,4.8225875,173.0796,169.5046,2.32,0.014109348,USD,11906761728.0,0.20587,71666526.0,72167368.0,3731804.0,3029689.0,1769731200.0,1772150400.0,0.0517,0.006,1.04475,2.94,0.0592,72377133.0,30.527,5.3793364,1751241600.0,1782777600.0,1767139200.0,0.274,507367008.0,6.97,6.964,2:1,983750400.0,4.831,17.096,,0.16888046,0.61,1772668800.0,EQUITY,164.215,buy,14.0,28216000.0,0.391,696465984.0,68497000.0,0.951,1.6,2464529920.0,3.109,33.913,0.13347,0.24284,1080510976.0,335255136.0,708214976.0,0.284,0.079,0.43842,0.28260002,0.25697002,USD,US,Equity,Nasdaq Real Time Price,HIGH,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc.",,NasdaqGS,922091.0,NMS,America/New_York,EDT,-14400000.0,us_market,20.095001,0.13943243,144.12 - 193.39,-29.175003,-0.15086097,-4.5651555,6.97,6.964,6.45857,25.425907,-8.864609,-0.051216945,-5.2895966,-0.031206213,15.0,1.7 - Buy,False,Jack Henry & Associates,2.2722
JNJ,One Johnson & Johnson Plaza,New Brunswick,08933,United States,732 524 0400,https://www.jnj.com,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,"Johnson & Johnson, together with its subsidiaries, engages in the research and development, manufacture, and sale of a range of products in the healthcare field worldwide. It operates in two segments, Innovative Medicine and MedTech. The Innovative Medicine segment offers products for various therapeutic areas, such as oncology, immunology, neuroscience, pulmonary hypertension, infectious diseases, and cardiovascular and metabolism distributed through retailers, wholesalers, distributors, hospitals, and healthcare professionals for prescription use. The MedTech segment provides a portfolio of products used in the surgery, orthopedic, cardiovascular, and vision fields distributed through wholesalers, hospitals and retailers, and used in the professional fields by physicians, nurses, hospitals, eye care professionals and clinics. This segment also offers products and enabling technologies that support joint reconstruction, trauma, spine, sports related injuries, and others, as well as open, laparoscopic, and robotic surgical procedures; instrumentation, energy devices, stapling systems, wound closure, biosurgery products, and digital and robotic technologies; breast aesthetics and reconstruction; contact lenses under the ACUVUE brand; intraocular lenses for cataract surgery, and other products used in cataract and refractive procedures under the TECNIS brand. The company was founded in 1886 and is based in New Brunswick, New Jersey.",138200.0,6.0,8.0,3.0,4.0,1772323200.0,http://www.investor.jnj.com/investor-relations.cfm,5.2,2.19,1771891200.0,0.466,2.78,0.326,21.538565,18.872522,2719848.0,8479050.0,7433680.0,572001550336.0,141.5,251.71,251.71,0.142361,6.0726547,232.9308,193.7628,5.14,0.021632995,USD,601822986240.0,0.28456,2406091296.0,2408613219.0,25086679.0,19562840.0,1769731200.0,1772150400.0,0.0104,0.00061,0.7575,2.65,0.0104,2409898936.0,33.865,7.008858,1766880000.0,1798416000.0,1766880000.0,0.491,26804000768.0,11.02,12.57675,2:1,992390400.0,6.389,17.786,,0.16888046,1.3,1771891200.0,EQUITY,237.355,buy,24.0,20102000640.0,8.341,33835999232.0,49332998144.0,0.689,1.028,94193000448.0,60.499,39.126,0.086780004,0.35029998,64128000000.0,16633249792.0,24529999872.0,0.486,0.091,0.68081003,0.35922,0.23966,USD,US,Equity,Nasdaq Real Time Price,HIGH,Johnson & Johnson,Johnson & Johnson,,NYSE,8479050.0,NYQ,America/New_York,EDT,-14400000.0,us_market,95.854996,0.67742044,141.5 - 251.71,-14.355011,-0.05702996,45.01008,11.02,12.57675,11.53558,20.575905,4.4241943,0.0189936,43.592194,0.2249771,15.0,2.1 - Buy,False,,1.6604
JNPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,USD,US,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
JPM,270 Park Avenue,New York,10017,United States,212 270 6000,https://www.jpmorganchase.com,Banks - Diversified,banks-diversified,Financial Services,financial-services,"JPMorgan Chase & Co. operates as a bank and financial holding company in the United States, rest of North America, Europe, the Middle East, Africa, the Asia Pacific, Latin America, and the Caribbean. It operates in three segments: Consumer & Community Banking, Commercial & Investment Bank, and Asset & Wealth Management. The company offers deposit, investment and lending products, and cash management; mortgage origination and servicing activities; residential mortgages and home equity loans; and credit cards, payment solutions, travel services, merchant offers, lifestyle benefits, auto loans, and leases to consumers and small businesses through bank branches, ATMs, and digital and telephone banking. It also provides investment banking, market-making, financing, custody, and securities products and services; corporate strategy and structure advisory, equity and debt market capital-raising, and loan origination and syndication services; cash and derivative instruments, risk management solutions, prime brokerage, clearing, and research; and fund services, liquidity and trading services, and data solutions products for large corporations, financial institutions, merchants, start-ups, small and midsized companies, local governments, municipalities, nonprofits, and commercial real estate clients. In addition, the company offers multi-asset investment management solutions in equities, fixed income, alternatives, and money market funds to institutional clients and retail investors; retirement products and services, estate planning, lending, deposits, and investment management products to high-net-worth clients; and financial transaction processing. JPMorgan Chase & Co. was founded in 1799 and is headquartered in New York, New York.",318512.0,10.0,6.0,3.0,5.0,1772323200.0,http://investor.shareholder.com/jpmorganchase/,6.0,2.08,1775433600.0,0.2897,2.4,1.059,14.387806,12.255069,2757350.0,10601479.0,10703890.0,776475639808.0,202.16,337.25,337.25,3.208333,4.6154227,304.9664,301.07336,5.8,0.020140987,USD,534994419712.0,0.3391,2683007807.0,2697032375.0,22965132.0,18828203.0,1769731200.0,1772150400.0,0.0085,0.0040700003,0.74964994,2.15,0.0085,2697032375.0,126.988,2.2671432,1767139200.0,1798675200.0,1767139200.0,-0.07,55680999424.0,20.01,23.49232,3:2,960768000.0,3.18,,,0.16888046,1.5,1767657600.0,EQUITY,287.9,buy,23.0,1287710048256.0,477.454,,1025994981376.0,,,168235008000.0,,60.592,0.01354,0.16134001,168235008000.0,,-147781992448.0,-0.036,0.025,0.0,0.0,0.41062,USD,US,Equity,Nasdaq Real Time Price,HIGH,JP Morgan Chase & Co.,JPMorgan Chase & Co.,,NYSE,10601479.0,NYQ,America/New_York,EDT,-14400000.0,us_market,85.73999,0.42411944,202.16 - 337.25,-49.350006,-0.14633064,19.082891,20.01,23.49232,21.90712,13.141846,-17.066406,-0.055961594,-13.17337,-0.043754686,15.0,2.1 - Buy,False,JPMorgan Chase &,1.6198
KEY,127 Public Square,Cleveland,44114-1306,United States,216 689 3000,https://www.key.com,Banks - Regional,banks-regional,Financial Services,financial-services,"KeyCorp operates as the holding company for KeyBank National Association that provides various retail and commercial banking products and services in the United States. It operates in two segments, Consumer Bank and Commercial Bank. The company offers various deposits and investment products; personal finance and financial wellness, lending, student loan refinancing, mortgage and home equity, credit card, treasury, and business advisory; commercial leasing, investment management, consumer finance; and wealth management and investment services for institutional, non-profit, and high-net-worth clients. It also provides lending, cash management, equipment financing, and commercial mortgage loans; and capital market products and services, such as syndicated finance, debt and equity underwriting, fixed income and equity sales and trading, derivatives, foreign exchange, mergers and acquisition, other advisory services, and public finance to large corporate and institutional clients. In addition, the company offers personal and institutional trust custody services, personal financial and planning services, access to mutual funds, treasury services, and international banking services. Further, it provides community development financing, securities underwriting, brokerage, and investment banking services, as well as merchant services. The company was founded in 1849 and is headquartered in Cleveland, Ohio.",17883.0,4.0,5.0,2.0,9.0,1772323200.0,https://www.snl.com/irweblinkx/corporateprofile.aspx?iid=100334,0.82,4.25,1772496000.0,0.5395,4.83,1.086,12.707237,9.093863,1599612.0,15846988.0,18078340.0,21046542336.0,12.73,23.35,44.875,4.4,3.0036452,21.1742,19.0179,0.82,0.042531118,USD,33123401728.0,0.26102,1085256153.0,1089647432.0,18826139.0,22180752.0,1769731200.0,1772150400.0,0.0173,0.00294,0.89981,1.09,0.0231,1089647432.0,16.22,1.1908139,1767139200.0,1798675200.0,1767139200.0,,1684999936.0,1.52,2.12396,2:1,889401600.0,4.727,,,0.16888046,0.205,1772496000.0,EQUITY,19.315,none,21.0,2523000064.0,2.315,,12138000384.0,,,7007000064.0,,6.378,0.00984,0.09482,7007000064.0,,2208000000.0,,1.315,0.0,0.0,0.33616,USD,US,Equity,Nasdaq Real Time Price,HIGH,KeyCorp,KeyCorp,,NYSE,15846988.0,NYQ,America/New_York,EDT,-14400000.0,us_market,6.585001,0.5172821,12.73 - 23.35,-4.035,-0.17280513,18.080498,1.52,2.12396,1.80421,10.705517,-1.8591995,-0.08780495,0.29710007,0.015622128,15.0,,False,,1.8358
KEYS,1400 Fountaingrove Parkway,Santa Rosa,95403-1738,United States,800 829 4444,https://www.keysight.com,Scientific & Technical Instruments,scientific-technical-instruments,Technology,technology,"Keysight Technologies, Inc. provides electronic design and test solutions worldwide. The company operates through Communications Solutions Group and Electronic Industrial Solutions Group segments. It offers electronic design and test software, instrumentation, systems, and related services used in the design, simulation, validation, manufacturing, installation, and optimization of communication systems in wireless, data center ecosystem, enterprise, and aerospace, defense, and government end markets. The company also develops and deploys communications products and services; and operates communications networks. In addition, it provides electronic design, test and simulation software, instrumentation, systems, computer-aided engineering solutions, and related services used in the design, simulation, validation, manufacturing, installation, and optimization of electronic equipment in the automotive and energy, semiconductor solutions, and general electronics industries. Further, the company offers product support; technical and application support for hardware, software, and solutions; and professional services, such as installation, training, engineering, optimization of equipment and solution adoption, utilization, and integration services. Additionally, it provides oscilloscopes; generators, sources and power supplies; software products; analyzers; wireless products; network test and security; modular instruments; meters; network visibility; and other products, as well as KeysightCare support plans, calibration, repair, technology refresh, test as a service, network/security, consulting, financial alternatives, education, software testing, support, managed, device vulnerability analysis, support portal, and used equipment services. Keysight Technologies, Inc. was founded in 1939 and is headquartered in Santa Rosa, California.",16600.0,6.0,4.0,9.0,6.0,1772323200.0,,,,,0.0,,1.137,50.78647,28.229645,192270.0,1355806.0,1504410.0,49564344320.0,121.43,317.0,317.0,21.071,8.730728,246.1158,192.493,0.0,0.0,USD,50365739008.0,0.16946,170595247.0,171502495.0,2317208.0,2636757.0,1769731200.0,1772150400.0,0.0135,0.00605,0.94031996,1.36,0.0154,171517761.0,36.181,7.986927,1761868800.0,1793404800.0,1769817600.0,0.663,981000000.0,5.69,10.23658,,,8.872,39.165,,0.16888046,,,EQUITY,288.975,buy,13.0,2177999872.0,12.7,1286000000.0,2772000000.0,1.776,2.604,5677000192.0,44.674,33.054,0.05816,0.17222999,3512000000.0,1077250048.0,1472000000.0,0.68,0.233,0.61864,0.22653,0.16313,USD,US,Equity,Nasdaq Real Time Price,HIGH,Keysight Technologies Inc.,"Keysight Technologies, Inc.",,NYSE,1355806.0,NYQ,America/New_York,EDT,-14400000.0,us_market,167.54501,1.3797662,121.43 - 317.0,-28.024994,-0.08840692,83.82505,5.69,10.23658,8.86227,32.607334,42.859207,0.17414245,96.48201,0.5012235,15.0,1.7 - Buy,False,Keysight,1.7228
KHC,One PPG Place,Pittsburgh,15222,United States,412 456 5700,https://www.kraftheinzcompany.com,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,"The Kraft Heinz Company, together with its subsidiaries, manufactures and markets food and beverage products in North America and internationally. Its products include condiments, sauces, dressings, and spreads; cheese, frozen potato products, and other frozen meals; meal kits, frozen snacks, and pickles; dry packaged desserts, refrigerated ready to eat desserts, and other dessert toppings; ready to drink and powdered beverages, and liquid concentrates; American sliced and recipe cheeses; mainstream coffee, coffee pods, and premium coffee; and cold cuts, bacon, and hot dogs. It offers its products under the Kraft, Oscar Mayer, Heinz, Philadelphia, Lunchables, Velveeta, Ore-Ida, Capri Sun, Maxwell House, Kool-Aid, Jell-O, ABC, Master, Quero, Golden Circle, Wattie's, Pudliszki, and Plasmon brands, as well as Bagel Bites, Claussen, A1, and Cool Whip. It sells its products through its own sales organizations, as well as through independent brokers, agents, and distributors to chain, wholesale, cooperative, and independent grocery accounts; convenience, value, and club stores; pharmacies and drug stores; mass merchants; foodservice distributors; institutions, including hotels, restaurants, bakeries, hospitals, health care facilities, and government agencies; and various e-commerce platforms and retailers. The company has a strategic partnership with the National Football League. The company was formerly known as H.J. Heinz Holding Corporation and changed its name to The Kraft Heinz Company in July 2015. The company was founded in 1869 and is headquartered in Pittsburgh, Pennsylvania.",35000.0,4.0,4.0,3.0,3.0,1772323200.0,,1.6,7.35,1772755200.0,0.7306,4.74,0.01,,10.108398,2245746.0,16240998.0,18638560.0,25687263232.0,21.66,31.15,97.77,19.99,1.0298798,23.8172,25.4668,1.6,0.073529415,USD,43980283904.0,-0.23437999,854225725.0,1183744751.0,75947934.0,77589757.0,1769731200.0,1772150400.0,0.0642,0.27918,0.62988997,4.64,0.0888,1183744751.0,35.189,0.61667,1766793600.0,1798329600.0,1766793600.0,-0.695,-5846000128.0,-4.93,2.14673,,,1.763,7.679,,0.16888046,0.4,1772755200.0,EQUITY,21.7,hold,19.0,3675000064.0,3.105,5727000064.0,21771999232.0,0.675,1.154,24942000128.0,52.1,21.013,0.03498,-0.12837,8310000128.0,2775500032.0,4462000128.0,-0.692,-0.034,0.33317003,0.22961001,0.17485,USD,US,Equity,Nasdaq Real Time Price,HIGH,The Kraft Heinz Company,The Kraft Heinz Company,,NasdaqGS,16240998.0,NMS,America/New_York,EDT,-14400000.0,us_market,0.040000916,0.0018467644,21.66 - 31.15,-9.449999,-0.30337074,-25.20325,-4.93,2.14673,2.03535,10.661557,-2.117199,-0.0888937,-3.7668,-0.14791021,15.0,3.2 - Hold,False,,0.9935
KIM,500 North Broadway,Jericho,11753-2128,United States,516 869 9000,https://www.kimcorealty.com,REIT - Retail,reit-retail,Real Estate,real-estate,"Kimco Realty Corporation is a real estate investment trust and leading owner and operator of high-quality, open-air, grocery-anchored shopping centers and mixed-use properties in the United States. The company's portfolio is strategically concentrated in the first-ring suburbs of the top major metropolitan markets, including high-barrier-to-entry coastal markets and Sun Belt cities. Its tenant mix is focused on essential, necessity-based goods and services that drive multiple shopping trips per week. Publicly traded on the NYSE since 1991 and included in the S&P 500 Index, the company has specialized in shopping center ownership, management, acquisitions, and value-enhancing redevelopment activities for more than 65 years. With a proven commitment to corporate responsibility, Kimco Realty is a recognized industry leader in this area. As of December 31, 2025, the company owned interests in 565 U.S. shopping centers and mixed-use assets comprising 100 million square feet of gross leasable space.",710.0,4.0,3.0,8.0,4.0,1772323200.0,,1.04,4.5,1772755200.0,1.2317,4.05,1.058,28.067072,26.684057,1083693.0,5664142.0,5443310.0,15585620992.0,17.93,23.91,53.6,4.277778,7.2826056,22.0318,21.40865,1.01,0.043741878,USD,23843194880.0,0.27323,658030608.0,674066654.0,21959877.0,23087425.0,1769731200.0,1772150400.0,0.0326,0.021710001,0.97947997,3.15,0.0448,677194053.0,15.416,1.4929293,1767139200.0,1798675200.0,1767139200.0,-0.09,551172992.0,0.82,0.8625,2:1,1124841600.0,11.141,18.201,,0.16888046,0.26,1772755200.0,EQUITY,23.015,buy,22.0,211648000.0,0.314,1310023040.0,8314580992.0,0.488,0.488,2140115968.0,78.678,3.17,0.02243,0.055370003,1477782016.0,842696640.0,1120014976.0,-0.068,0.032,0.69051003,0.61213,0.33007,USD,US,Equity,Nasdaq Real Time Price,HIGH,Kimco Realty Corporation (HC),Kimco Realty Corporation,,NYSE,5664142.0,NYQ,America/New_York,EDT,-14400000.0,us_market,5.084999,0.28360283,17.93 - 23.91,-0.89500046,-0.037432056,10.120487,0.82,0.8625,0.78,29.50641,0.9832001,0.044626407,1.60635,0.075032756,15.0,2.3 - Buy,False,Kimco Realty,
KLAC,One Technology Drive,Milpitas,95035,United States,408 875 3000,https://www.kla.com,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,"KLA Corporation, together with its subsidiaries, designs, manufactures, and markets process control, process-enabling, and yield management solutions for the semiconductor and related electronics industries worldwide. The company operates through three segments: Semiconductor Process Control; Specialty Semiconductor Process; and PCB and Component Inspection. It offers inspection and review tools to identify, locate, characterize, review, and analyze defects on various surfaces of patterned and unpatterned wafers; metrology systems to measure pattern dimensions, film thickness, film stress, layer-to-layer alignment, pattern placement, surface topography, and electro-optical properties for wafers; chemical process control equipment; wired and wireless sensor wafers and reticles; wafer defect inspection, review, and metrology systems; reticle inspection and metrology systems; wafer inspection and metrology systems; and semiconductor software solutions that provide run-time process control, defect excursion identification, process corrections, and defect classification to accelerate yield learning rates and reduce production risk. The company also provides etch, plasma dicing, deposition, and other wafer processing technologies and solutions for the semiconductor and microelectronics industry. In addition, it offers direct imaging, inspection, optical shaping, inkjet and additive printing, and computer-aided manufacturing and engineering solutions for the PCB market and inspection and metrology systems for quality control and yield improvement in advanced and traditional semiconductor packaging markets. The company was formerly known as KLA-Tencor Corporation and changed its name to KLA Corporation in July 2019. KLA Corporation was incorporated in 1975 and is headquartered in Milpitas, California.",15000.0,3.0,3.0,8.0,5.0,1772323200.0,http://ir.kla-tencor.com/,7.6,0.5,1771286400.0,0.21540001,0.98,1.448,44.00918,31.659647,176282.0,1063700.0,1024750.0,198396510208.0,551.33,1693.35,1693.35,0.604167,15.567089,1464.7393,1138.4624,7.4,0.004895734,USD,199026933760.0,0.35764,130769892.0,131076611.0,2947691.0,2601171.0,1769731200.0,1772150400.0,0.0225,0.00102,0.93851995,2.47,0.0251,131392338.0,41.678,36.229065,1751241600.0,1782777600.0,1767139200.0,0.39,4557986816.0,34.31,47.69336,2:1,948240000.0,15.617,34.661,,0.16888046,1.9,1771286400.0,EQUITY,1509.955,buy,30.0,5207463936.0,39.728,5742102016.0,6109477888.0,1.852,2.828,12744611840.0,111.778,96.606,0.21087,1.00726,7847356928.0,3222999808.0,4766347776.0,0.409,0.072,0.61574,0.45055,0.41313,USD,US,Equity,Nasdaq Real Time Price,HIGH,KLA Corporation,KLA Corporation,,NasdaqGS,1063700.0,NMS,America/New_York,EDT,-14400000.0,us_market,958.62494,1.7387497,551.33 - 1693.35,-183.39502,-0.10830308,109.82039,34.31,47.69336,36.58692,41.270348,45.2157,0.030869452,371.49255,0.32631078,15.0,1.9 - Buy,False,KLA,1.6759
KMB,PO Box 619100,Dallas,75261-9100,United States,972 281 1200,https://www.kimberly-clark.com,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,"Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care products in the United States. It operates in two segments, North America and International Personal Care. The North America segment offers disposable diapers, training and youth pants, swimpants, baby wipes, feminine and incontinence care products, reusable underwear, facial and bathroom tissue, paper towels, napkins, wipers, tissue, towels, soaps and sanitizers, and other related products under the Huggies, Pull-Ups, Goodnites, Kotex, Poise, Depend, Kleenex, Scott, Cottonelle, Viva, Wypall , and other brand names. Its International Personal Care segment provides baby and child care, adult care and feminine care, including disposable diapers, training and youth pants, swimpants, baby wipes, feminine and incontinence care products, reusable underwear, and other related products under the Huggies, Kotex, Goodfeel, Intimus, Depend, and other brand names. The company sells its household use products directly to supermarkets, mass merchandisers, drugstores, warehouse clubs, variety and department stores, and other retail outlets, as well as through other distributors and e-commerce. It also sells its professional use products through distributors, directly to manufacturing, lodging, office building, food service, and high-volume public facilities, and through e-commerce. Kimberly-Clark Corporation was founded in 1872 and is headquartered in Dallas, Texas.",36000.0,3.0,5.0,4.0,3.0,1772323200.0,http://www.kimberly-clark.com/investors.aspx,5.12,5.19,1772755200.0,1.037,3.65,0.234,20.399176,12.85464,618811.0,5525745.0,4551900.0,32906782720.0,96.26,147.12,160.16,2.262105,2.0007772,103.1754,116.352,5.04,0.05112599,USD,39650906112.0,0.122880004,330820389.0,331922371.0,39186999.0,35107703.0,1769731200.0,1772150400.0,0.1181,0.0067000003,0.89083,6.53,0.13229999,331922371.0,4.525,21.909391,1767139200.0,1798675200.0,1767139200.0,0.116,1620999936.0,4.86,7.71239,1043:1000,1414972800.0,2.411,12.395,,0.16888046,1.28,1772755200.0,EQUITY,99.14,hold,13.0,774000000.0,2.332,3199000064.0,7576000000.0,0.374,0.745,16446999552.0,464.785,49.554,0.09612001,1.26603,6136000000.0,912875008.0,2776999936.0,0.11,-0.006,0.37308,0.19450001,0.13161999,USD,US,Equity,Nasdaq Real Time Price,HIGH,Kimberly-Clark Corporation,Kimberly-Clark Corporation,,NasdaqGS,5525745.0,NMS,America/New_York,EDT,-14400000.0,us_market,2.8799973,0.02991894,96.26 - 147.12,-47.979996,-0.3261283,-28.809404,4.86,7.71239,7.58333,13.073412,-4.0354004,-0.03911204,-17.211998,-0.1479304,15.0,2.5 - Hold,False,Kimberly-Clark,6.9179
KMI,1001 Louisiana Street,Houston,77002,United States,713 369 9000,https://www.kindermorgan.com,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,"Kinder Morgan, Inc. operates as an energy infrastructure company primarily in North America. It operates through Natural Gas Pipelines, Products Pipelines, Terminals, and CO2 segments. The Natural Gas Pipelines segment owns and operates interstate and intrastate natural gas pipeline, and storage systems; natural gas gathering systems and natural gas processing and treating facilities; natural gas liquids fractionation facilities and transportation systems; and liquefied natural gas gasification, liquefaction, and storage facilities. The Products Pipelines segment owns and operates refined petroleum products, and crude oil and condensate pipelines; and associated product terminals and petroleum pipeline transmix facilities. The Terminals segment owns and/or operates liquids and bulk terminals that stores and handles various commodities, including gasoline, diesel fuel, renewable fuel and feedstocks, chemicals, ethanol, metals, and petroleum coke; and owns tankers. The CO2 segment produces, transports, and markets CO2 to recovery and production crude oil from mature oil fields; owns interests in/or operates oil fields and gasoline processing plants; and operates a crude oil pipeline system in West Texas, as well as owns and operates RNG and LNG facilities. The company was formerly known as Kinder Morgan Holdco LLC and changed its name to Kinder Morgan, Inc. in February 2011. Kinder Morgan, Inc. was founded in 1997 and is headquartered in Houston, Texas.",11028.0,8.0,9.0,7.0,8.0,1772323200.0,http://199.230.26.96/kmi/index.html,1.17,3.5,1769990400.0,0.85040003,5.63,0.648,24.518393,22.973783,3501569.0,13523430.0,12926830.0,74731692032.0,23.94,34.24,44.71,9.42,4.4123335,30.9484,28.2304,1.17,0.03498804,USD,107972526080.0,0.18043,1936916449.0,2224806397.0,46151939.0,46854721.0,1769731200.0,1772150400.0,0.0207,0.12788999,0.69725996,3.25,0.0274,2224806397.0,14.007,2.3981009,1767139200.0,1798675200.0,1767139200.0,0.493,3040000000.0,1.37,1.46211,,,6.375,15.175,,0.16888046,0.293,1769990400.0,EQUITY,33.5902,buy,21.0,67000000.0,0.03,7114999808.0,32355000320.0,0.412,0.637,16936999936.0,99.71,7.619,0.040960003,0.09826,8351000064.0,455875008.0,5917000192.0,0.493,0.131,0.49306,0.42009,0.30257,USD,US,Equity,Nasdaq Real Time Price,HIGH,"Kinder Morgan, Inc.","Kinder Morgan, Inc.",,NYSE,13523430.0,NYQ,America/New_York,EDT,-14400000.0,us_market,9.650198,0.40309933,23.94 - 34.24,-0.64980316,-0.018977895,16.756176,1.37,1.46211,1.36741,24.564835,2.641798,0.08536138,5.3597984,0.1898591,15.0,2.0 - Buy,False,Kinder Morgan,3.9341
